1 0 0
2 0.250012 4.30448e-06
3 0.400002 5.522e-06
4 0.499999 6.86881e-06
5 0.571418 8.77645e-06
6 0.624991 1.16257e-05
7 0.666653 1.59647e-05
8 0.699976 2.26737e-05
9 0.727249 3.32168e-05
10 0.749895 5.00474e-05
11 0.769156 7.73697e-05
12 0.785742 0.00012258
13 0.800114 0.000198132
14 0.81266 0.000327293
15 0.823981 0.000551451
16 0.8333 0.000953929
17 0.838832 0.00165092
18 0.85345 0.00268707
19 0.86471 0.00451738
20 0.861535 0.00849248
21 0.87595 0.0169572
22 0.919496 0.0244705
23 0.825199 0.0740971
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 nan nan
31 nan nan
32 nan nan
